Wall time,Step,Value
1620407003.0890749,1,-200.0
1620407030.484263,20,-96.82499694824219
1620407038.0499709,40,-402.15625
1620407043.563325,60,-402.1187438964844
1620407049.151304,80,-402.1000061035156
1620407105.414346,100,-99.8968734741211
1620407129.606677,120,-402.15625
1620407134.8370838,140,-402.15625
1620407144.645309,160,-402.13751220703125
1620407191.5569391,180,-378.9312438964844
1620407340.71827,200,-98.734375
1620407485.521427,220,-99.953125
1620407598.5733252,240,-87.8125
1620407749.063509,260,-99.953125
1620407873.684194,280,-91.9749984741211
1620407904.338874,300,-29.556249618530273
