Wall time,Step,Value
1621042404.061669,1,-200.0
1621042533.533396,20,-23.41522216796875
1621042564.930783,40,-170.65234375
1621042593.6358871,60,-174.34585571289062
1621042637.551348,80,-79.93295288085938
1621042673.301975,100,-132.31118774414062
1621042720.514286,120,37.61207962036133
1621042756.556313,140,-102.94405364990234
1621042952.1656508,160,342.2438659667969
1621043086.4840698,180,-84.79222869873047
1621043297.87568,200,-48.791568756103516
1621043377.986094,220,-98.96229553222656
1621043547.500704,240,42.29051208496094
1621043813.5440252,260,260.80902099609375
1621044116.901025,280,264.26885986328125
1621044354.6140878,300,262.9716796875
