Wall time,Step,Value
1621042404.0616388,1,-276.9788818359375
1621042533.533375,20,-964.3734130859375
1621042564.9307652,40,-441.5703430175781
1621042593.635869,60,-258.64886474609375
1621042637.5513291,80,-217.52357482910156
1621042673.3019571,100,-222.6661376953125
1621042720.514268,120,-263.8603515625
1621042756.556295,140,-196.9788818359375
1621042952.165633,160,-6728.80517578125
1621043086.48405,180,-195.96914672851562
1621043297.87566,200,-141.9381561279297
1621043377.986073,220,-196.9788818359375
1621043547.5006862,240,-196.9788818359375
1621043813.5440068,260,-102.94405364990234
1621044116.9010088,280,-905.2128295898438
1621044354.61407,300,-104.4878158569336
