Wall time,Step,Value
1621042404.0615208,1,-238.48944091796875
1621042533.5333278,20,-383.232666015625
1621042564.9307148,40,-208.7919464111328
1621042593.635828,60,-189.9074249267578
1621042637.55128,80,-173.3150634765625
1621042673.3019142,100,-181.2464141845703
1621042720.514239,120,-185.09811401367188
1621042756.5562618,140,-182.60023498535156
1621042952.165601,160,-493.8931884765625
1621043086.484,180,-140.90379333496094
1621043297.875614,200,-102.66825866699219
1621043377.9860249,220,-162.61331176757812
1621043547.5006368,240,-101.60210418701172
1621043813.543958,260,-13.463162422180176
1621044116.9009762,280,-41.71968460083008
1621044354.614031,300,-57.011661529541016
