Wall time,Step,Value
1620411235.079474,1,-403.15625
1620411424.2200801,20,-497.34686279296875
1620411510.599763,40,-410.15313720703125
1620411588.8217752,60,-411.09063720703125
1620411685.497354,80,-422.67498779296875
1620411957.009631,100,-442.203125
1620412134.120529,120,-463.2875061035156
1620412369.837114,140,-478.109375
1620412728.098901,160,-431.1875
1620413204.352709,180,-448.671875
1620413684.844867,200,-489.76873779296875
1620414260.866098,220,-492.90625
1620414871.117109,240,-493.6875
1620415889.507566,260,-486.6812438964844
1620417089.729682,280,-492.62811279296875
1620417753.496126,300,-477.01873779296875
