Wall time,Step,Value
1620411235.0793118,1,-301.578125
1620411424.220022,20,-414.51873779296875
1620411510.599707,40,-404.2857666015625
1620411588.821718,60,-403.7239074707031
1620411685.497303,80,-405.5299987792969
1620411957.009588,100,-406.9920349121094
1620412134.120469,120,-408.4970397949219
1620412369.837078,140,-399.0034484863281
1620412728.0988538,160,-380.49859619140625
1620413204.352652,180,-367.4987487792969
1620413684.8448231,200,-410.0775146484375
1620414260.8660522,220,-363.5853271484375
1620414871.117059,240,-383.23126220703125
1620415889.507515,260,-268.0246887207031
1620417089.729644,280,-224.10203552246094
1620417753.496095,300,-341.8940734863281
