Wall time,Step,Value
1620411235.079513,1,-200.0
1620411424.22013,20,-402.15625
1620411510.599791,40,-402.640625
1620411588.821802,60,-402.65936279296875
1620411685.4973812,80,-402.65936279296875
1620411957.0096571,100,-396.7250061035156
1620412134.120561,120,-387.84063720703125
1620412369.837132,140,-98.80937194824219
1620412728.09893,160,-99.88749694824219
1620413204.352739,180,-97.609375
1620413684.8448908,200,-97.6656265258789
1620414260.866124,220,-95.3125
1620414871.117128,240,-98.0406265258789
1620415889.507593,260,-82.34687805175781
1620417089.729701,280,-97.328125
1620417753.4961438,300,-92.6312484741211
