Wall time,Step,Value
1620405849.8655412,1,-301.578125
1620405878.887579,20,-395.1564025878906
1620405887.659574,40,-403.8595275878906
1620405894.345202,60,-402.9056396484375
1620405905.847466,80,-404.03375244140625
1620405929.125885,100,-406.4549865722656
